Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0402_1005Metric",144.830800,-109.829600,45.000000,top
"C102","100n","C_0402_1005Metric",144.830800,-113.995200,-45.000000,top
"C103","100n","C_0402_1005Metric",140.665200,-114.046000,-135.000000,top
"C104","100n","C_0402_1005Metric",140.716000,-109.880400,135.000000,top
"C105","100n","C_0402_1005Metric",146.151600,-110.642400,0.000000,top
"C106","100n","C_0402_1005Metric",142.130000,-115.480000,-90.000000,top
"C107","100n","C_0402_1005Metric",139.050000,-112.710000,180.000000,top
"C108","100n","C_0402_1005Metric",144.018000,-108.508800,90.000000,top
"J101","2118714-2","TE_2118714-2",142.741400,-111.938800,0.000000,top
"J201","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",155.575000,-102.870000,0.000000,top
"J202","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",151.765000,-123.190000,-90.000000,top
"J601","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",133.985000,-100.330000,90.000000,top
"J603","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",130.175000,-120.650000,180.000000,top
"U101","~","Didactic_WB",143.598000,-111.105600,-90.000000,top
